customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00033,Female,0,Yes,No,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),36.26,144.02,No
C00034,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,75.4,5433.56,No
C00035,Male,0,No,No,72,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,81.74,5993.58,No
C00036,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,73.67,3664.53,Yes
C00037,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,91.83,1036.95,Yes
C00038,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),51.56,191.42,No
C00039,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,94.51,3340.69,No
C00040,Male,1,No,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,61.28,1131.14,No
C00041,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,66.42,290.99,No
C00042,Female,1,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,82.81,1675.07,No
C00043,Male,0,No,Yes,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.84,45.91,Yes
C00044,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,83.4,6051.5,No
C00045,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),79.86,643.48,Yes
C00046,Female,1,No,No,32,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,48.98,1608.0,No
C00047,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),26.58,315.43,No
C00048,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,27.09,621.29,Yes
C00049,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,110.32,2692.87,No
C00050,Male,0,No,Yes,6,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,86.93,575.28,No
C00051,Female,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.71,2230.48,No
C00052,Male,0,Yes,No,44,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.67,2367.98,No
C00053,Male,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,77.25,5668.11,No
C00054,Female,0,No,No,67,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.56,6919.86,No
C00055,Female,0,No,Yes,27,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),22.37,619.62,No
C00056,Female,0,No,Yes,72,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,41.66,3058.28,Yes
C00057,Male,0,Yes,Yes,2,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),106.97,328.9,No
C00058,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.92,131.28,No
C00059,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),38.14,77.14,Yes
C00060,Female,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,113.9,1397.86,No
C00061,Male,1,Yes,Yes,14,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,79.34,1215.49,No
C00062,Male,0,No,No,9,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,44.17,423.06,No
C00063,Female,0,Yes,Yes,52,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),24.7,1291.35,No
C00064,Male,0,Yes,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.82,277.18,No
C00065,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),42.47,436.54,No
C00066,Male,0,Yes,Yes,23,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Electronic check,106.15,2626.76,No
C00067,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,59.59,287.16,No
C00068,Male,1,Yes,Yes,48,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),90.03,4351.96,No
C00069,Female,0,No,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),109.83,385.86,No
C00070,Male,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,58.8,4331.5,No
C00071,Male,0,No,Yes,44,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,37.13,1699.11,No
C00072,Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,69.71,502.86,No
C00073,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,108.81,187.31,Yes
C00074,Female,1,No,Yes,50,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),98.44,4925.03,No
C00075,Male,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.58,890.15,Yes
C00076,Female,0,Yes,No,39,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,87.26,3419.3,No
C00077,Male,0,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,75.19,3415.52,No
C00078,Female,0,No,Yes,2,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,108.75,232.63,No
C00079,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.25,423.28,No
C00080,Male,0,No,Yes,3,No,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.4,281.7,No
C00081,Male,0,No,No,59,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),105.95,6316.89,No
C00082,Female,0,No,No,29,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,59.0,1813.71,No
C00083,Male,0,No,Yes,12,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),66.2,816.97,No
C00084,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,25.05,42.71,No
C00085,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,45.81,574.84,No
C00086,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,50.45,558.02,No
C00087,Male,0,Yes,Yes,39,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,112.51,4539.32,No
C00088,Female,0,No,No,30,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,46.27,1463.65,No
C00089,Female,1,Yes,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),64.09,4285.35,No
C00090,Male,1,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,85.13,1766.67,Yes
C00091,Male,1,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,34.22,124.52,No
C00092,Female,0,Yes,No,37,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,66.64,2543.83,Yes
C00093,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),91.85,3871.9,Yes
C00094,Female,1,Yes,No,24,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),104.69,2566.55,No
C00095,Female,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,80.63,3562.91,No
C00096,Male,0,No,Yes,20,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),84.91,1751.73,No
C00097,Male,1,Yes,Yes,22,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),30.63,727.47,No
C00098,Female,0,No,Yes,16,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,112.58,1879.45,No
C00099,Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,31.26,35.13,No
C00100,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),95.47,369.16,No
C00101,Male,0,No,Yes,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,44.48,40.83,Yes
C00102,Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,111.36,3556.74,Yes
C00103,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),90.0,1043.31,Yes
C00104,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),93.38,2078.14,Yes
C00105,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,39.91,2867.14,No
C00106,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,62.3,506.02,No
C00107,Female,0,No,Yes,15,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,79.78,1274.78,No
C00108,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,95.0,4144.54,No
C00109,Male,0,No,No,7,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,28.4,204.41,No
C00110,Female,0,No,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),114.24,244.38,No
C00111,Female,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,107.02,1103.08,No
C00112,Male,0,No,Yes,5,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),45.03,293.99,No
C00113,Male,0,No,No,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,100.28,7365.36,No
C00114,Female,0,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,69.83,3500.58,No
C00115,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,64.18,1985.5,Yes
C00116,Male,0,No,No,61,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,49.44,3103.68,No
C00117,Male,1,No,No,48,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.1,3769.49,Yes
C00118,Female,1,No,Yes,6,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,90.99,693.7,No
C00119,Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),59.09,3996.05,No
C00120,Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),80.92,1965.18,No
C00121,Male,0,No,No,49,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,87.93,4389.12,No
C00122,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,89.11,6124.47,Yes
C00123,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.2,298.17,Yes
C00124,Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),103.97,316.86,No
C00125,Female,0,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,63.83,453.39,Yes
C00126,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.24,792.67,No
C00127,Female,0,No,Yes,51,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,42.18,2174.56,No
C00128,Male,0,Yes,No,59,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.3,4027.51,No
C00129,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,106.68,82.95,Yes
C00130,Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.83,1185.73,Yes
C00131,Female,1,Yes,Yes,16,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,92.97,1502.48,No
C00132,Female,0,No,Yes,7,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,27.68,202.42,No
C00133,Male,0,No,Yes,3,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,65.61,229.62,No
C00134,Male,1,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),117.17,1520.52,Yes
C00135,Female,1,Yes,No,72,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),95.04,6976.22,No
C00136,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),39.05,506.59,Yes
C00137,Male,0,Yes,Yes,21,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),68.14,1491.11,No
C00138,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),41.36,1531.82,No
C00139,Male,0,Yes,Yes,13,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,58.96,828.01,No
C00140,Female,1,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),96.01,7016.3,No
C00141,Female,0,No,Yes,72,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.12,6947.13,No
C00142,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.81,327.2,No
C00143,Female,0,No,No,20,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),110.22,2204.78,No
C00144,Male,0,No,Yes,10,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,77.26,787.69,No
C00145,Female,0,No,No,10,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),55.99,571.27,No
C00146,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,68.19,164.32,No
C00147,Male,0,Yes,Yes,28,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),78.51,2230.46,No
C00148,Male,0,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),73.99,1612.2,Yes
C00149,Female,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),66.64,190.4,No
C00150,Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,68.49,750.09,No
C00151,Female,0,Yes,No,71,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),35.64,2597.38,No
C00152,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,99.27,848.14,Yes
C00153,Female,0,No,Yes,4,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,72.18,362.31,Yes
C00154,Female,0,Yes,No,20,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,31.11,633.12,Yes
C00155,Male,1,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.62,6965.21,No
C00156,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),111.24,1087.58,No
C00157,Male,1,No,Yes,33,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,112.73,3912.02,No
C00158,Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,54.9,2408.28,No
C00159,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),31.55,300.27,No
C00160,Male,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,69.84,2737.39,No
C00161,Female,0,Yes,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.26,382.74,Yes
C00162,Male,1,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),111.4,3509.82,No
C00163,Male,0,No,Yes,30,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,36.36,1121.73,No
C00164,Male,0,Yes,Yes,23,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.28,1081.61,Yes
C00165,Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,58.66,128.73,Yes
C00166,Male,0,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,56.32,3137.66,No
C00167,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),97.47,1165.74,No
C00168,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),63.63,487.04,No
C00169,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.08,92.41,No
C00170,Male,0,No,No,26,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,44.72,1244.65,No
C00171,Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),68.91,2315.08,No
C00172,Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,32.75,62.21,No
C00173,Female,0,Yes,No,21,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),79.17,1686.58,No
C00174,Female,0,Yes,Yes,7,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,74.57,534.21,No
C00175,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,89.47,2850.8,No
C00176,Male,0,Yes,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),111.77,744.01,No
C00177,Male,0,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),109.23,3926.47,No
C00178,Male,0,Yes,No,14,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),112.61,1763.31,No
C00179,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,42.47,3119.82,No
C00180,Female,1,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,31.16,137.69,No
C00181,Female,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.23,670.29,No
C00182,Male,0,Yes,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),107.51,335.6,Yes
C00183,Female,1,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),115.21,8502.1,Yes
